Final solvent use,Et(30),SP,SdP,SA,SB
H2O,63.1,0.681,0.997,1.062,0.025
MeOH,55.4,0.608,0.904,0.605,0.545
EtOH,51.9,0.633,0.783,0.4,0.658
MeCN,45.6,0.645,0.974,0.044,0.286
DMSO,45.1,0.83,1,0.072,0.647
THF,37.4,0.714,0.634,0,0.591
CH2Cl2,40.7,0.761,0.769,0.04,0.178
CHCl3,39.1,0.783,0.614,0.047,0.071
CCl4,32.4,0.768,0,0,0.044
DMF,43.2,0.759,0.977,0.031,0.613
DCE,41.3,0.771,0.742,0.03,0.126
CS2,32.8,1,0,0,0.104
"1,4-dioxane",36,0.737,0.312,0,0.444
Toluene,33.9,0.782,0.284,0,0.128
Glycerol,57,0.828,0.921,0.653,0.309
Hexane,31,0.616,0,0,0.056
Acetic acid,51.7,0.651,0.676,0.689,0.39
Acetone,42.2,0.651,0.907,0,0.475
Ethyl acetate,38.1,0.656,0.603,0,0.542
Benzene,34.3,0.793,0.27,0,0.124
Cyclohexane,30.9,0.683,0,0,0.073
Nitroethane,43.6,0.706,0.902,0,0.234
Chlorobenzene,36.8,0.833,0.537,0,0.182
Fluorobenzene,37,0.761,0.511,0,0.113
Nitrobenzene,41.2,0.891,0.873,0.056,0.24
Cyclohexanone,39.8,0.766,0.745,0,0.482
Ethylene glycol,56.3,0.777,0.91,0.717,0.534
Propionitrile,43.6,0.668,0.888,0.03,0.365
Ethyl formate,40.9,0.648,0.707,0,0.477
Methyl acetate ,38.9,0.645,0.637,0,0.527
Dimethyl carbonate ,38.2,0.653,0.531,0.064,0.433
1-propanol,50.7,0.658,0.748,0.367,0.782
2-propanol,48.4,0.633,0.808,0.283,0.83
"1,2-propanediol",54.1,0.731,0.888,0.475,0.598
Benzonitrile,41.5,0.851,0.852,0.047,0.281
Heptane,31.1,0.635,0,0,0.083
1-heptanol,48.5,0.706,0.499,0.302,0.912
p-xylene,33.1,0.778,0.175,0,0.16
Ethoxybenzene,36.6,0.81,0.669,0,0.295
Octane,31.1,0.65,0,0,0.079
Dibutyl ether,33,0.672,0.175,0,0.637
Mesitylene,32.9,0.775,0.155,0,0.19
Nonane,31,0.66,0,0,0.053
"1,2,3,4-tetrahydronaphthalene",33.5,0.838,0.182,0,0.18
Decane,31,0.669,0,0,0.066
1-decanol,47.7,0.722,0.383,0.259,0.912
1-methylnaphthalene,35.3,0.908,0.51,0,0.156
Dodecane,31.1,0.683,0,0,0.086
Tributylamine,32.1,0.689,0.06,0,0.854
Dibenzyl ether,36.3,0.877,0.509,0,0.33
Trimethyl phosphate,43.6,0.707,0.909,0,0.522
Butanenitrile,42.5,0.689,0.864,0,0.384
2-butanone,41.3,0.669,0.872,0,0.52
Sulfolane,44,0.83,0.896,0.052,0.365
1-butanol,49.7,0.674,0.655,0.341,0.809
Ethyl ether,34.5,0.617,0.385,0,0.562
2-methyl-2-propanol,43.3,0.632,0.732,0.145,0.928
"1,2-dimethoxyethane",38.2,0.68,0.625,0,0.636
Pyridine,40.5,0.842,0.761,0.033,0.581
1-methyl-2-pyrrolidinone,42.2,0.812,0.959,0.024,0.613
2-methyltetrahydrofuran,36.5,0.7,0.768,0,0.584
2-pentanone ,41.1,0.689,0.783,0.01,0.537
3-pentanone,39.3,0.692,0.785,0,0.557
Propyl acetate,37.5,0.67,0.559,0,0.548
Piperidine,35.5,0.754,0.365,0,0.933
2-methylbutane,30.9,0.581,0,0,0.053
Pentane,31,0.593,0,0,0.073
Tert-butyl methyl ether,34.7,0.622,0.422,0,0.567
Hexafluorobenzene,34.2,0.623,0.252,0,0.119
"1,2-dichlorobenzene ",38,0.869,0.676,0.033,0.144
Bromobenzene,36.6,0.875,0.497,0,0.192
"N,N-dimethylacetamide",42.9,0.763,0.987,0.028,0.65
Butyl acetate ,38.5,0.674,0.535,0,0.525
"N,N-diethylacetamide",41.4,0.748,0.918,0,0.66
Diisopropyl ether,34.1,0.625,0.324,0,0.657
Dipropyl ether,34,0.645,0.286,0,0.666
1-hexanol,48.8,0.698,0.552,0.315,0.879
Hexamethylphosphoramine,40.9,0.744,1.1,0,0.813
Triethylamine,32.1,0.66,0.108,0,0.885
(Trifluoromethyl)benzene,38.5,0.694,0.663,0.014,0.073
"1,1,2-trichlorotrifluoroethane",33.2,0.596,0.152,0,0.038
"1,1,2,2-tetrachloroethane",39.4,0.845,0.792,0,0.017
"1,1,1-trichloroethane",36.2,0.737,0.5,0,0.085
"2,2,2-trifluoroethanol",59.8,0.543,0.922,0.893,0.107
